Name,trust_prob
PG_1245_1,0.5940204670490863
PG_1040_1,0.6679478015150919
PG_1450_1,0.4541785834425247
ARR_112,0.49389382243604724
ARR_101,0.3043271682230223
ARR_124,0.2848861884358247
ARR_66,0.42629325222656966
ARR_75,0.4982516890228595
ARR_54,0.6765896168586815
ARR_176,0.4554182287569166
ARR_155,0.5754904227285241
ARR_168,0.5729741764245433
ARR_169,0.5749168795992644
ARR_27,0.7868264928784441
ARR_110,0.4974100546502983
ARR_44,0.7882088033747956
ARR_74,0.47728270812285867
ARR_34,0.7951995647427834
ARR_162,0.5156646527433237
ARR_192,0.6838962806389693
ARR_186,0.6537444761685547
ARR_212,0.3468774171317126
ARR_190,0.681832771365041
ARR_208,0.8160907619431587
ARR_170,0.5020747019978703
ARR_194,0.8079721923900618
ARR_206,0.45844477380505316
TRI_27,0.4583942565174543
TRI_31,0.7418971712836067
TRI_39,0.5654332885700848
TRI_180,0.6831671502403233
TRI_182,0.7152787249318029
TRI_192,0.6763735911852408
TRI_194,0.6461319405787393
TRI_131,0.8146052338248566
TRI_102,0.8229486674418993
TRI_41,0.6482919386234951
TRI_43,0.7515004409902657
TRI_44,0.7924179329382095
TRI_62,0.8191226471863983
TRI_99,0.818220042394106
TRI_80,0.823107548634941
TRI_81,0.7711543159937714
TRI_90,0.6581413088599363
TRI_106,0.34128411388921776
TRI_114,0.6852992988344067
TRI_183,0.6681846051908215
TRI_28,0.5534619392578567
TRI_104,0.6474192177921916
TRI_111,0.6941840196769988
TRI_113,0.42149812757112354
PG_1048_1,0.6842122619369165
PG_0849_1,0.694402909931278
ARR_45,0.29156359938701476
ARR_46,0.4108926670279
TRI_197,0.5311974455354944
