Name,trust_prob
PG_1245_1,0.5245532502041392
PG_1040_1,0.6242679158465028
PG_1450_1,0.35303999318788176
ARR_112,0.4103208718826715
ARR_101,0.24057230948631883
ARR_124,0.2883467408303302
ARR_66,0.34365542910898916
ARR_75,0.45960933174727464
ARR_54,0.6455778258555613
ARR_176,0.3850128557075859
ARR_155,0.5377483525119718
ARR_168,0.5222420603429152
ARR_169,0.4905406834266287
ARR_27,0.7553566804972518
ARR_110,0.4135169482642248
ARR_44,0.7528385029898206
ARR_74,0.37325965717469206
ARR_34,0.7734761950477044
ARR_162,0.5306902808314579
ARR_192,0.627116569110407
ARR_186,0.6002472195027285
ARR_212,0.3066505443141333
ARR_190,0.6424603987274985
ARR_208,0.8024733426821478
ARR_170,0.42262207312394245
ARR_194,0.783881972078497
ARR_206,0.4881807285491113
TRI_27,0.39513216415632973
TRI_31,0.7029997977539908
TRI_39,0.48625122765039513
TRI_180,0.644169003821751
TRI_182,0.671096967902225
TRI_192,0.6411242551808649
TRI_194,0.6008767686774791
TRI_131,0.7941234923661137
TRI_102,0.8044426816438774
TRI_41,0.5862576196632735
TRI_43,0.7187882926119937
TRI_44,0.7656927021092544
TRI_62,0.7996979915819027
TRI_99,0.7996698974980792
TRI_80,0.8083284046170874
TRI_81,0.7426845047873996
TRI_90,0.6175239973980857
TRI_106,0.30050594804902864
TRI_114,0.6407698703038824
TRI_183,0.626798254737194
TRI_28,0.4787609839417299
TRI_104,0.6426299182829645
TRI_111,0.6525919174910997
TRI_113,0.3688892095119742
PG_1048_1,0.6306986973150344
PG_0849_1,0.6562997479979659
ARR_45,0.2676353209933107
ARR_46,0.37619617878497796
TRI_197,0.5843508679579874
