SampleID,Name,n_chemists,p_aif,p_rwp,delta
Sample 1,TRI_81,2,0.7724903248329427,0.7724903248329427,0.0
Sample 2,ARR_208,1,0.8517329929828373,0.74771819719658,0.10401479578625739
