Name,Target,Precursors,Temperature (C),Dwell Duration (h),Furnace
NSC-179,Na2.2Zr1.0In1.0(PO4)3.0,"['Na2CO3', 'ZrO2', 'In2O3', 'NH4H2PO4']",1100.0,0.2,BF
NSC-180,Na2.2Zr1.0Y1.0(PO4)3.0,"['Na2CO3', 'ZrO2', 'Y2O3', 'NH4H2PO4']",1100.0,0.2,BF
NSC-181,Na4.4Sc1.0Mg1.0(PO4)3.0,"['Na2CO3', 'Sc2O3', 'MgO', 'NH4H2PO4']",1100.0,0.2,BF
NSC-182,Na3.3Sc1.0Y1.0(PO4)3.0,"['Sc2O3', 'Y2O3', 'NH4H2PO4', 'Na2CO3']",1100.0,0.2,BF
NSC-183,Na3.3Ga2.0(PO4)3.0,"['Na2CO3', 'Ga2O3', 'NH4H2PO4']",900.0,0.2,BF
NSC-184,Na4.4Ti2.0(SiO4)3.0,"['Na2CO3', 'TiO2', 'SiO2']",900.0,0.2,BF
NSC-185,Na6.6In2.0(SiO4)3.0,"['Na2CO3', 'In2O3', 'SiO2']",900.0,0.2,BF
NSC-186,Na6.6Ga2.0(SiO4)3.0,"['Na2CO3', 'Ga2O3', 'SiO2']",900.0,0.2,BF
NSC-187,Na8.8Zn2.0(SiO4)3.0,"['Na2CO3', 'ZnO', 'SiO2']",900.0,0.2,BF
NSC-188,Na4.4Ge2.0(SiO4)3.0,"['Na2CO3', 'GeO2', 'SiO2']",900.0,0.2,BF
NSC-189,Na6.6La2.0(SiO4)3.0,"['Na2CO3', 'La2O3', 'SiO2']",900.0,0.2,BF
NSC-190,Na4.4Hf0.5Zr0.5Ti0.5Ge0.5(SiO4)3.0,"['Na2CO3', 'HfO2', 'ZrO2', 'TiO2', 'GeO2', 'SiO2']",900.0,0.2,BF
NSC-191,Na4.4Zr0.5Ti0.5Sn0.5Ge0.5(SiO4)3.0,"['Na2CO3', 'ZrO2', 'TiO2', 'SnO2', 'GeO2', 'SiO2']",900.0,0.2,BF
NSC-192,Na3.3Hf0.5Zr0.5Ti0.5Ge0.5(PO4)1.0(SiO4)2.0,"['Na2CO3', 'HfO2', 'ZrO2', 'TiO2', 'GeO2', 'NH4H2PO4', 'SiO2']",900.0,0.2,BF
NSC-193,Na3.3Zr0.5Ti0.5Sn0.5Ge0.5(PO4)1.0(SiO4)2.0,"['Na2CO3', 'ZrO2', 'TiO2', 'SnO2', 'GeO2', 'NH4H2PO4', 'SiO2']",900.0,0.2,BF
NSC-194,Na4.4Hf1.0Zr1.0(SiO4)3.0,"['Na2CO3', 'HfO2', 'ZrO2', 'SiO2']",900.0,0.2,BF
NSC-195,Na4.4Zr1.0Sn1.0(SiO4)3.0,"['Na2CO3', 'ZrO2', 'SnO2', 'SiO2']",900.0,0.2,BF
NSC-196,Na4.4Hf1.0Sn1.0(SiO4)3.0,"['Na2CO3', 'HfO2', 'SnO2', 'SiO2']",900.0,0.2,BF
NSC-197,Na4.4Hf0.667Zr0.667Sn0.667(SiO4)3.0,"['Na2CO3', 'HfO2', 'ZrO2', 'SnO2', 'SiO2']",900.0,0.2,BF
NSC-198,Na8.8Mg2.0(SiO4)3.0,"['Na2CO3', 'MgO', 'SiO2']",900.0,0.2,BF
NSC-199,Na3.3Hf1.0Zr1.0(PO4)1.0(SiO4)2.0,"['Na2CO3', 'HfO2', 'ZrO2', 'NH4H2PO4', 'SiO2']",900.0,0.2,BF
NSC-200,Na3.74Hf0.6Zr1.0Sc0.4(PO4)1.0(SiO4)2.0,"['Na2CO3', 'HfO2', 'ZrO2', 'Sc2O3', 'NH4H2PO4', 'SiO2']",900.0,0.2,BF
NSC-201,Na3.52Hf0.8Zr1.0Sc0.2(PO4)1.0(SiO4)2.0,"['SiO2', 'Na2CO3', 'HfO2', 'ZrO2', 'Sc2O3', 'NH4H2PO4']",900.0,0.2,BF
NSC-202,Na3.85Hf0.3Zr1.0Sc0.15Mg0.1Ti0.3In0.15(PO4)1.0(SiO4)2.0,"['Na2CO3', 'HfO2', 'ZrO2', 'Sc2O3', 'MgO', 'TiO2', 'In2O3', 'NH4H2PO4', 'SiO2']",900.0,0.2,BF
NSC-203,Na3.63Hf0.6Zr0.6Sc0.2Mg0.2Ti0.2In0.2(PO4)1.5(SiO4)1.5,"['Na2CO3', 'HfO2', 'ZrO2', 'Sc2O3', 'MgO', 'TiO2', 'In2O3', 'NH4H2PO4', 'SiO2']",900.0,0.2,BF
NSC-204,Na3.85Hf0.6Zr0.6Sc0.3Mg0.2In0.3(PO4)1.5(SiO4)1.5,"['Na2CO3', 'HfO2', 'ZrO2', 'Sc2O3', 'MgO', 'In2O3', 'NH4H2PO4', 'SiO2']",900.0,0.2,BF
NSC-205,Na3.74Hf0.7Zr0.7Sc0.2Ti0.2In0.2(PO4)1.0(SiO4)2.0,"['Na2CO3', 'HfO2', 'ZrO2', 'Sc2O3', 'TiO2', 'In2O3', 'NH4H2PO4', 'SiO2']",900.0,0.2,BF
NSC-206,Na3.85Hf0.5Zr0.5Sc0.5Ti0.5(PO4)1.0(SiO4)2.0,"['Na2CO3', 'HfO2', 'ZrO2', 'Sc2O3', 'TiO2', 'NH4H2PO4', 'SiO2']",900.0,0.2,BF
NSC-207,Na3.3Hf1.0Zr1.0(PO4)1.0(SiO4)2.0,"['Na2CO3', 'HfO2', 'ZrO2', 'NH4H2PO4', 'SiO2']",300.0,0.2,BF
NSC-208,Na3.74Hf0.6Zr1.0Sc0.4(PO4)1.0(SiO4)2.0,"['Na2CO3', 'HfO2', 'ZrO2', 'Sc2O3', 'NH4H2PO4', 'SiO2']",300.0,0.2,BF
NSC-209,Na3.52Hf0.8Zr1.0Sc0.2(PO4)1.0(SiO4)2.0,"['Na2CO3', 'HfO2', 'ZrO2', 'Sc2O3', 'NH4H2PO4', 'SiO2']",300.0,0.2,BF
NSC-210,Na3.85Hf0.3Zr1.0Sc0.15Mg0.1Ti0.3In0.15(PO4)1.0(SiO4)2.0,"['TiO2', 'In2O3', 'NH4H2PO4', 'SiO2', 'Na2CO3', 'HfO2', 'ZrO2', 'Sc2O3', 'MgO']",300.0,0.2,BF
