Name,Target,Precursors,Temperature (C),Dwell Duration (h),Furnace
Na-105,Li4SnP2O94,"['Li2CO3', 'SnO2', 'NH4H2PO4']",750.0,0.13,BF
Na-106,Li4SnP2O94,"['Li2CO3', 'Sn', 'NH4H2PO4']",750.0,0.13,BF
Na-107,K4SnP2O94,"['K2CO3', 'SnO2', 'NH4H2PO4']",750.0,0.13,BF
Na-108,K4SnP2O94,"['K2CO3', 'Sn', 'NH4H2PO4']",750.0,0.13,BF
Na-109,Na4SnP2O9,"['SnO2', 'NH4H2PO4', 'Na2CO3']",1100.0,0.2,BF
Na-110,Na4SnP2O9,"['Sn', 'NH4H2PO4', 'Na2CO3']",1100.0,0.2,BF
Na-111,Na4SnP2O9,"['SnO2', 'Na2HPO4']",1100.0,0.2,BF
Na-112,Na4SnP2O9,"['Sn', 'Na2HPO4']",1100.0,0.2,BF
Na-113,Na4SnP2O9,"['SnO2', 'NH4H2PO4', 'Na2CO3']",,,BF
Na-114,Na4SnP2O9,"['SnO2', 'NH4H2PO4', 'Na2CO3']",,,BF
Na-115,Na4SnP2O9,"['SnO2', 'NH4H2PO4', 'Na2CO3']",,,BF
Na-116,Na4SnP2O9,"['Sn', 'Na2HPO4']",,,BF
Na-117,Na4SnP2O9,"['Sn', 'Na2HPO4']",,,BF
Na-118,Na4SnP2O9,"['Sn', 'Na2HPO4']",,,BF
Na-119,Na4SnO3,"['SnO2', 'Na2CO3']",,,BF
Na-120,Na4SnO3,"['Na2CO3', 'SnO2']",,,BF
Na-121,SnP2O7,"['NH4H2PO4', 'SnO2']",,,BF
Na-122,SnP2O7,"['NH4H2PO4', 'SnO2']",,,BF
Na-123,Sn3P2O8,"['NH4H2PO4', 'SnO2']",,,BF
Na-124,Sn3P2O8,"['NH4H2PO4', 'SnO2']",,,BF
Na-125,SnP2O7,"['NH4H2PO4', 'SnO2']",,,BF
Na-126,SnP2O7,"['NH4H2PO4', 'SnO2']",,,BF
Na-127,Sn3P2O8,"['NH4H2PO4', 'SnO2']",,,BF
Na-128,Sn3P2O8,"['SnO2', 'NH4H2PO4']",,,BF
Na-137,Sn3PO4,"['NH4H2PO4', 'Sn']",500.0,0.2,BF
Na-138,Sn3PO4,"['NH4H2PO4', 'Sn']",500.0,0.2,BF
Na-139,Sn3PO4,"['NH4H2PO4', 'SnO2']",500.0,0.2,BF
Na-140,Sn3PO4,"['NH4H2PO4', 'SnO2']",500.0,0.2,BF
Na-141,SnP2O7,"['NH4H2PO4', 'Sn']",500.0,0.2,BF
Na-142,SnP2O7,"['NH4H2PO4', 'SnO2']",500.0,0.2,BF
Na-93,Ca2SnP2O94,"['CaCO3', 'SnO2', 'NH4H2PO4']",950.0,0.2,BF
Na-94,Mg2SnP2O94,"['MgCO3', 'SnO2', 'NH4H2PO4']",950.0,0.2,BF
Na-95,Li4SnP2O94,"['Li2CO3', 'SnO2', 'NH4H2PO4']",950.0,0.2,BF
Na-96,K4SnP2O94,"['K2CO3', 'SnO2', 'NH4H2PO4']",950.0,0.2,BF
Na-97,Na4SnP2O9,"['SnO2', 'NH4H2PO4', 'Na2CO3']",950.0,0.2,BF
Na-98,Na4SnP2O9,"['Sn', 'NH4H2PO4', 'Na2CO3']",950.0,0.2,BF
Na-99,Na4SnP2O9,"['SnO2', 'Na2HPO4']",950.0,0.2,BF
Na-157,Na2PO4,['Na2HPO4'],500.0,0.13,BF
Na-158,Na2P2O8,"['Na2HPO4', 'NH4H2PO4']",500.0,0.13,BF
Na-159,Na2PO4,"['Na2CO3', 'NH4H2PO4']",500.0,0.13,BF
Na-160,Na2P2O8,"['Na2CO3', 'NH4H2PO4']",500.0,0.13,BF
Na-161,Na2SnO3,"['Na2CO3', 'SnO2']",500.0,0.13,BF
Na-162,Na2SnO3,"['Na2CO3', 'Sn']",500.0,0.13,BF
Na-163,Sn3PO4,"['NH4H2PO4', 'SnO2']",500.0,0.13,BF
Na-164,Sn3PO4,"['NH4H2PO4', 'Sn']",500.0,0.13,BF
Na-185,Na8SnTiP4O18,"['Na2CO3', 'SnO2', 'NH4H2PO4', 'TiO2']",925.0,0.2,BF
Na-186,Na8SnZrP4O18,"['Na2CO3', 'SnO2', 'NH4H2PO4', 'ZrO2']",925.0,0.2,BF
Na-187,Na8SnHfP4O18,"['Na2CO3', 'SnO2', 'NH4H2PO4', 'HfO2']",925.0,0.2,BF
Na-188,Na16SnHfTiZrP8O32,"['Na2CO3', 'SnO2', 'NH4H2PO4', 'HfO2', 'TiO2', 'ZrO2']",925.0,0.2,BF
Na-189,Na16SnHfTiZrP8O32,"['Na2CO3', 'SnO2', 'NH4H2PO4', 'HfO2', 'TiO2', 'ZrO2']",925.0,0.2,BF
Na-190,Na12SnTiHfP6O27,"['SnO2', 'NH4H2PO4', 'Na2CO3', 'TiO2', 'HfO2']",925.0,0.2,BF
