Name,Target,Precursors,Temperature (C),Dwell Duration (h),Furnace
ARR-140,CuAg2P2O7,"['CuO', 'Ag2CO3', '(NH4)2HPO4']",,,BF
ARR-141,CuAg2P2O7,"['CuO', 'Ag2CO3', 'NH4H2PO4']",,,BF
ARR-143,GaSbO4,"['Ga2O3', 'Sb2O3']",,,BF
ARR-142,GaSbO4,"['Ga2O3', 'Sb2O5']",,,BF
ARR-155,MgCuP2O7,"['CuO', 'MgCO3', '(NH4)2HPO4']",800.0,4,BF
ARR-156,MgCuP2O7,"['NH4H2PO4', 'CuO', 'MgCO3']",800.0,4,BF
ARR-157,MgCuP2O7,"['CuO', 'MgO', 'NH4H2PO4']",800.0,4,BF
ARR-152,Mn7(P2O7)4,"['(NH4)2HPO4', 'Mn3O4']",700.0,4,BF
ARR-153,Mn7(P2O7)4,"['NH4H2PO4', 'Mn2O3']",700.0,4,BF
ARR-162,Ta4PbO11,"['PbCO3', 'Ta2O5']",800.0,4,BF
ARR-154,Y3Ga3Fe2O12,"['Fe2O3', 'Ga2O3', 'Y2O3']",800.0,4,BF
ARR-159,Y3In2Ga3O12,"['Y2(CO3)3-3H2O', 'Ga2O3', 'In2O3']",700.0,4,BF
ARR-158,Y3In2Ga3O12,"['Y2O3', 'Ga2O3', 'In2O3']",700.0,4,BF
ARR-178,Ba2ZrSnO6,"['Ba(OH)2', 'SnO2', 'ZrO2']",900.0,4,BF
ARR-179,Ba2ZrSnO6,"['BaCO3', 'SnO2', 'ZrO2']",900.0,4,BF
ARR-181,Ba2ZrSnO6,"['BaO2', 'SnO2', 'ZrO2']",900.0,4,BF
ARR-180,Ba2ZrSnO6,"['BaO', 'SnO2', 'ZrO2']",900.0,4,BF
ARR-164,Ba4InSbO8,"['Ba(OH)2', 'In2O3', 'Sb2O3']",900.0,4,BF
ARR-165,Ba4InSbO8,"['BaCO3', 'In2O3', 'Sb2O5']",900.0,4,BF
ARR-166,Ba4InSbO8,"['BaO2', 'In2O3', 'Sb2O3']",900.0,4,BF
ARR-210,Ba9Ca3La4(Fe4O15)2,"['BaO2', 'Ca(OH)2', 'Fe3O4', 'La2O3']",1000.0,4,BF
ARR-211,Ba9Ca3La4(Fe4O15)2,"['Ca(OH)2', 'Fe3O4', 'BaO', 'La2O3']",1000.0,4,BF
ARR-173,Ba9Ca3La4(Fe4O15)2,"['Ba(OH)2', 'Ca(OH)2', 'Fe3O4', 'La2O3']",800.0,4,BF
ARR-171,Ba9Ca3La4(Fe4O15)2,"['BaO2', 'Ca(OH)2', 'Fe3O4', 'La2O3']",800.0,4,BF
ARR-172,Ba9Ca3La4(Fe4O15)2,"['BaO2', 'CaO', 'Fe3O4', 'La2O3']",800.0,4,BF
ARR-185,Ba9Ca3La4(Fe4O15)2,"['BaO', 'Ca(OH)2', 'Fe3O4', 'La2O3']",800.0,4,BF
ARR-196,Ba9Ca3La4(Fe4O15)2,"['BaO2', 'Ca(OH)2', 'Fe3O4', 'La2O3']",900.0,4,BF
ARR-197,Ba9Ca3La4(Fe4O15)2,"['BaO', 'Ca(OH)2', 'Fe3O4', 'La2O3']",900.0,4,BF
ARR-216,BaGdCrFeO6,"['Ba(OH)2', 'Cr2O3', 'Fe2O3', 'Gd2O3']",700.0,4,BF
ARR-215,BaGdCrFeO6,"['Ba(OH)2', 'Cr2O3', 'Fe3O4', 'Gd2O3']",700.0,4,BF
ARR-199,BaGdCrFeO6,"['BaCO3', 'Cr2O3', 'Fe2O3', 'Gd2O3']",700.0,4,BF
ARR-200,BaGdCrFeO6,"['BaCO3', 'Cr2O3', 'Fe3O4', 'Gd2O3']",700.0,4,BF
ARR-201,BaGdCrFeO6,"['BaO2', 'Cr2O3', 'Fe2O3', 'Gd2O3']",700.0,4,BF
ARR-213,BaGdCrFeO6,"['Cr2O3', 'Fe3O4', 'Gd2O3', 'BaO2']",700.0,4,BF
ARR-202,BaGdCrFeO6,"['BaO', 'Cr2O3', 'Fe2O3', 'Gd2O3']",700.0,4,BF
ARR-214,BaGdCrFeO6,"['BaO', 'Cr2O3', 'Fe3O4', 'Gd2O3']",700.0,4,BF
ARR-219,BaGdCrFeO6,"['Ba(OH)2', 'Cr2O3', 'Fe3O4', 'Gd2O3']",,,BF
ARR-220,BaGdCrFeO6,"['BaO2', 'Cr2O3', 'Fe3O4', 'Gd2O3']",,,BF
